time,open,high,low,close,volume,count
1697177700,25415.5,25426.4,25415.5,25419.0,4.34713531,178
1697178600,25419.0,25461.6,25418.9,25450.9,2.60988985,185
1697179500,25450.9,25460.6,25429.0,25430.4,3.69583957,185
1697180400,25430.4,25479.9,25430.3,25475.6,8.42151677,260
1697181300,25475.6,25504.9,25461.3,25475.1,23.00711284,303
1697182200,25475.1,25517.0,25465.1,25465.1,8.90908845,331
1697183100,25465.0,25465.1,25430.7,25457.4,6.26199808,271
1697184000,25457.4,25473.1,25447.6,25453.8,13.51497873,257
1697184900,25453.8,25462.1,25430.7,25431.9,17.4972805,729
1697185800,25431.2,25433.3,25401.1,25401.2,11.33551327,282
1697186700,25401.1,25402.6,25378.3,25386.4,12.51456436,237
1697187600,25386.4,25412.1,25386.4,25412.1,7.11654552,213
1697188500,25412.1,25441.0,25412.0,25435.1,24.56208506,302
1697189400,25434.7,25438.4,25398.6,25408.9,15.81150075,297
1697190300,25409.0,25421.2,25388.2,25388.2,16.10075323,227
1697191200,25388.7,25420.0,25388.7,25409.7,8.21885683,235
1697192100,25409.1,25439.8,25409.1,25430.9,5.64833424,240
1697193000,25430.9,25459.3,25430.9,25436.5,11.48652924,224
1697193900,25436.3,25445.9,25428.0,25445.4,4.66909729,216
1697194800,25446.4,25495.0,25446.4,25495.0,5.69959569,193
1697195700,25495.0,25495.0,25468.2,25488.7,37.79748971,257
1697196600,25490.3,25509.2,25484.4,25494.5,3.25267981,188
1697197500,25494.5,25494.5,25461.6,25472.7,8.67759389,191
1697198400,25472.8,25507.4,25417.9,25503.7,4.3136753,298
1697199300,25500.3,25508.4,25482.4,25487.8,9.39202622,279
1697200200,25489.4,25528.4,25487.4,25491.9,17.2325027,320
1697201100,25493.0,25556.6,25479.4,25554.3,8.9906084,366
1697202000,25556.7,25575.1,25494.0,25527.1,10.10982533,301
1697202900,25527.2,25548.5,25508.5,25538.4,9.27807124,279
1697203800,25538.5,25547.7,25501.0,25515.3,6.99795403,257
1697204700,25515.2,25530.6,25500.0,25505.7,7.47999443,224
1697205600,25507.9,25512.7,25479.5,25500.1,14.97098643,231
1697206500,25500.1,25507.3,25492.5,25492.6,4.41304008,252
1697207400,25493.2,25519.4,25482.9,25518.4,6.80383409,241
1697208300,25518.7,25526.8,25456.9,25461.2,10.55241179,268
1697209200,25462.7,25492.7,25445.6,25475.7,8.50233552,281
1697210100,25475.6,25482.9,25422.8,25447.1,8.91338208,224
1697211000,25447.1,25447.1,25418.2,25438.0,10.67388195,189
1697211900,25437.9,25445.0,25409.3,25426.7,5.58769476,170
1697212800,25422.4,25437.9,25413.3,25433.6,12.14171057,219
1697213700,25433.6,25459.7,25431.5,25459.7,8.11364947,168
1697214600,25459.6,25487.3,25435.6,25478.5,5.16839939,146
1697215500,25485.5,25494.3,25457.1,25488.1,3.07281411,151
1697216400,25488.1,25488.6,25453.4,25455.4,4.36142908,141
1697217300,25456.5,25473.5,25431.9,25431.9,2.62255674,175
1697218200,25432.0,25457.2,25401.0,25455.3,6.10171356,181
1697219100,25455.3,25483.6,25443.2,25479.7,5.12947699,162
1697220000,25479.4,25484.6,25473.1,25480.2,2.5541559,163
1697220900,25480.2,25483.4,25458.4,25462.9,6.12110016,160
1697221800,25463.0,25475.3,25434.0,25443.1,3.53702339,287
1697222700,25443.2,25459.7,25441.3,25444.7,15.26479268,161
1697223600,25444.7,25460.7,25426.9,25454.6,2.35930469,154
1697224500,25454.2,25470.5,25452.2,25470.5,2.98346257,119
1697225400,25468.9,25470.1,25436.7,25436.8,2.15489451,147
1697226300,25438.1,25468.0,25436.5,25467.9,1.38744951,131
1697227200,25467.9,25486.0,25466.0,25471.9,2.03486827,135
1697228100,25471.9,25471.9,25450.0,25471.8,1.48742211,79
1697229000,25471.9,25478.6,25451.6,25475.1,2.5431057,121
1697229900,25474.3,25734.2,25464.7,25673.5,45.49411892,598
1697230800,25673.2,25799.9,25587.2,25611.5,43.52699824,473
1697231700,25605.4,25729.6,25552.3,25694.7,28.14403983,221
1697232600,25694.7,25736.7,25684.7,25705.3,9.98593121,170
1697233500,25706.3,25739.6,25696.4,25710.0,3.54098436,143
1697234400,25714.7,25772.1,25700.9,25715.7,2.94479857,153
1697235300,25724.3,25760.0,25691.7,25691.7,5.79919148,144
1697236200,25691.2,25691.2,25569.1,25607.5,3.67833538,167
1697237100,25602.8,25617.5,25478.0,25540.0,10.7515754,162
1697238000,25540.1,25556.0,25488.3,25501.7,5.84948173,125
1697238900,25498.1,25551.0,25496.5,25533.3,1.24125258,84
1697239800,25533.7,25556.0,25533.6,25553.5,0.81142434,85
1697240700,25552.4,25569.5,25548.7,25569.5,1.482304,76
1697241600,25569.5,25592.0,25565.1,25583.0,1.04243409,91
1697242500,25583.1,25588.5,25565.6,25588.5,0.24214996,68
1697243400,25591.9,25591.9,25568.4,25584.7,0.4172174,72
1697244300,25586.7,25601.8,25582.3,25598.9,1.46648436,122
1697245200,25599.0,25599.3,25558.9,25559.0,0.7949425,65
1697246100,25559.0,25567.0,25553.0,25553.0,0.11103458,53
1697247000,25553.1,25592.5,25553.1,25590.6,1.66240647,89
1697247900,25590.1,25619.2,25590.1,25613.4,0.15445598,50
1697248800,25615.5,25630.5,25597.3,25597.3,0.33676424,57
1697249700,25604.2,25607.3,25596.3,25601.9,1.88997987,54
1697250600,25604.1,25621.7,25594.3,25594.3,0.39317193,57
1697251500,25603.6,25620.9,25603.6,25607.7,5.15407461,44
1697252400,25606.9,25628.2,25606.9,25628.2,0.6542987,67
1697253300,25627.1,25635.7,25625.6,25635.6,0.3720008,51
1697254200,25635.2,25685.9,25635.1,25664.3,1.41395209,53
1697255100,25663.8,25663.8,25629.0,25631.5,0.72741902,42
1697256000,25630.4,25633.5,25624.5,25627.8,0.12756331,47
1697256900,25627.9,25631.1,25616.8,25621.9,0.50848369,55
1697257800,25622.2,25623.5,25620.5,25621.3,1.37204171,38
1697258700,25619.5,25619.6,25602.8,25604.1,0.42691888,79
1697259600,25605.7,25620.4,25600.2,25620.4,0.52283139,187
1697260500,25620.4,25625.8,25613.8,25625.8,1.2065389,169
1697261400,25627.4,25639.9,25602.7,25603.6,25.46259989,102
1697262300,25603.1,25603.1,25589.0,25589.0,1.10277531,75
1697263200,25589.4,25600.3,25584.6,25585.3,0.95236003,152
1697264100,25585.3,25585.3,25560.6,25560.7,1.06428464,147
1697265000,25560.6,25579.9,25560.5,25573.2,2.35073208,184
1697265900,25573.2,25574.2,25564.8,25567.3,4.25709449,111
1697266800,25567.0,25567.0,25549.0,25560.1,2.57442172,105
1697267700,25560.0,25575.4,25557.7,25568.8,1.15153203,95
1697268600,25569.9,25575.3,25567.3,25567.7,3.13423137,116
1697269500,25567.8,25572.3,25564.5,25572.3,2.5245416,133
1697270400,25573.4,25587.1,25560.0,25560.1,3.03010462,144
1697271300,25560.1,25562.0,25560.0,25562.0,2.63878309,127
1697272200,25561.9,25569.2,25550.5,25550.6,4.88430776,139
1697273100,25550.6,25567.0,25550.5,25567.0,3.28674984,123
1697274000,25567.0,25581.1,25567.0,25581.0,3.0051661,164
1697274900,25581.1,25584.1,25572.9,25580.2,2.40544131,167
1697275800,25580.3,25580.3,25574.2,25576.9,2.18670683,142
1697276700,25576.8,25581.0,25576.1,25581.0,1.69804517,116
1697277600,25581.0,25589.4,25580.9,25589.4,1.88862572,193
1697278500,25589.4,25593.3,25586.1,25590.1,1.83049237,105
1697279400,25590.0,25599.9,25590.0,25596.3,1.66106855,149
1697280300,25596.2,25596.3,25572.4,25582.2,4.93329129,143
1697281200,25582.2,25582.8,25574.3,25575.5,4.04062186,132
1697282100,25575.5,25576.4,25570.7,25571.1,2.82241971,136
1697283000,25571.2,25573.2,25565.5,25565.5,3.11509827,162
1697283900,25565.5,25568.9,25556.3,25568.8,2.01153608,114
1697284800,25568.9,25569.3,25557.0,25560.4,6.68230899,154
1697285700,25561.2,25561.8,25557.0,25561.0,1.86778041,143
1697286600,25561.0,25564.2,25561.0,25562.6,4.39073125,142
1697287500,25562.7,25599.0,25562.6,25596.3,1.40556365,166
1697288400,25596.9,25602.2,25595.4,25599.5,1.74702074,162
1697289300,25599.5,25605.2,25587.5,25588.8,2.11956913,155
1697290200,25589.8,25604.0,25587.6,25603.9,0.97665645,124
1697291100,25604.0,25615.1,25590.3,25612.1,3.65086874,149
1697292000,25612.7,25615.6,25601.9,25610.2,2.00293011,178
1697292900,25610.2,25615.0,25604.6,25604.7,2.72190134,120
1697293800,25604.5,25604.5,25580.1,25585.9,2.89131042,144
1697294700,25585.9,25596.3,25585.9,25592.2,1.86130189,127
1697295600,25592.3,25610.3,25592.3,25610.0,1.5499449,124
1697296500,25610.3,25624.0,25589.9,25605.2,3.88450915,137
1697297400,25605.1,25622.3,25597.6,25622.3,1.74143364,137
1697298300,25622.3,25651.4,25616.1,25651.4,2.55716184,139
1697299200,25649.4,25655.0,25626.7,25641.4,1.68641583,133
